experiment_start=2026-07-13T02:46:11Z description=raise matrix Muon weight decay from 0.20 to 0.22
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 3, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 20,971,520
  total                   : 29,360,128
Estimated FLOPs per token: 2.516582e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011366 | lrm: 1.00 | dt: 2683ms | tok/sec: 48,857 | mfu: 1.2% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.861592 | lrm: 1.00 | dt: 89ms | tok/sec: 1,478,442 | mfu: 37.6% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.518883 | lrm: 1.00 | dt: 92ms | tok/sec: 1,420,957 | mfu: 36.1% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.085537 | lrm: 1.00 | dt: 93ms | tok/sec: 1,416,743 | mfu: 36.0% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 7.695771 | lrm: 1.00 | dt: 93ms | tok/sec: 1,409,915 | mfu: 35.9% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 7.400745 | lrm: 1.00 | dt: 93ms | tok/sec: 1,412,977 | mfu: 35.9% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 7.152973 | lrm: 1.00 | dt: 93ms | tok/sec: 1,414,413 | mfu: 36.0% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 6.946647 | lrm: 1.00 | dt: 93ms | tok/sec: 1,414,861 | mfu: 36.0% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 6.772536 | lrm: 1.00 | dt: 92ms | tok/sec: 1,420,656 | mfu: 36.1% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 6.626130 | lrm: 1.00 | dt: 93ms | tok/sec: 1,409,478 | mfu: 35.8% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 6.500462 | lrm: 1.00 | dt: 99ms | tok/sec: 1,318,561 | mfu: 33.5% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 6.389210 | lrm: 1.00 | dt: 101ms | tok/sec: 1,300,916 | mfu: 33.1% | epoch: 1 | remaining: 180s    
step 00012 (0.1%) | loss: 6.297286 | lrm: 1.00 | dt: 95ms | tok/sec: 1,384,290 | mfu: 35.2% | epoch: 1 | remaining: 180s    
step 00013 (0.1%) | loss: 6.216035 | lrm: 1.00 | dt: 94ms | tok/sec: 1,392,255 | mfu: 35.4% | epoch: 1 | remaining: 180s    
step 00014 (0.2%) | loss: 6.142243 | lrm: 1.00 | dt: 96ms | tok/sec: 1,363,430 | mfu: 34.7% | epoch: 1 | remaining: 180s    
step 00015 (0.2%) | loss: 6.082117 | lrm: 1.00 | dt: 92ms | tok/sec: 1,421,887 | mfu: 36.2% | epoch: 1 | remaining: 180s    
step 00016 (0.3%) | loss: 6.029579 | lrm: 1.00 | dt: 93ms | tok/sec: 1,406,622 | mfu: 35.8% | epoch: 1 | remaining: 179s    
step 00017 (0.3%) | loss: 5.977678 | lrm: 1.00 | dt: 93ms | tok/sec: 1,407,252 | mfu: 35.8% | epoch: 1 | remaining: 179s    
step 00018 (0.4%) | loss: 5.931902 | lrm: 1.00 | dt: 94ms | tok/sec: 1,401,755 | mfu: 35.7% | epoch: 1 | remaining: 179s    
step 00019 (0.4%) | loss: 5.890959 | lrm: 1.00 | dt: 93ms | tok/sec: 1,408,355 | mfu: 35.8% | epoch: 1 | remaining: 179s    
step 00020 (0.5%) | loss: 5.857278 | lrm: 1.00 | dt: 97ms | tok/sec: 1,357,026 | mfu: 34.5% | epoch: 1 | remaining: 179s    
step 00021 (0.5%) | loss: 5.825374 | lrm: 1.00 | dt: 97ms | tok/sec: 1,345,880 | mfu: 34.2% | epoch: 1 | remaining: 179s    
step 00022 (0.6%) | loss: 5.794568 | lrm: 1.00 | dt: 96ms | tok/sec: 1,365,846 | mfu: 34.7% | epoch: 1 | remaining: 179s    
step 00023 (0.6%) | loss: 5.765375 | lrm: 1.00 | dt: 95ms | tok/sec: 1,381,896 | mfu: 35.1% | epoch: 1 | remaining: 179s    
step 00024 (0.7%) | loss: 5.739672 | lrm: 1.00 | dt: 95ms | tok/sec: 1,376,447 | mfu: 35.0% | epoch: 1 | remaining: 179s    
step 00025 (0.7%) | loss: 5.708502 | lrm: 1.00 | dt: 94ms | tok/sec: 1,390,808 | mfu: 35.4% | epoch: 1 | remaining: 179s    
step 00026 (0.8%) | loss: 5.685565 | lrm: 1.00 | dt: 94ms | tok/sec: 1,397,784 | mfu: 35.5% | epoch: 1 | remaining: 178s    
step 00027 (0.8%) | loss: 5.667006 | lrm: 1.00 | dt: 93ms | tok/sec: 1,403,508 | mfu: 35.7% | epoch: 1 | remaining: 178s    
step 00028 (0.9%) | loss: 5.650340 | lrm: 1.00 | dt: 94ms | tok/sec: 1,393,974 | mfu: 35.5% | epoch: 1 | remaining: 178s    
step 00029 (0.9%) | loss: 5.631088 | lrm: 1.00 | dt: 94ms | tok/sec: 1,401,390 | mfu: 35.6% | epoch: 1 | remaining: 178s    
step 00030 (1.0%) | loss: 5.613504 | lrm: 1.00 | dt: 95ms | tok/sec: 1,385,888 | mfu: 35.2% | epoch: 1 | remaining: 178s    
step 00031 (1.1%) | loss: 5.596888 | lrm: 1.00 | dt: 96ms | tok/sec: 1,368,753 | mfu: 34.8% | epoch: 1 | remaining: 178s    
step 00032 (1.1%) | loss: 5.579253 | lrm: 1.00 | dt: 95ms | tok/sec: 1,372,982 | mfu: 34.9% | epoch: 1 | remaining: 178s    
step 00033 (1.2%) | loss: 5.566535 | lrm: 1.00 | dt: 95ms | tok/sec: 1,373,308 | mfu: 34.9% | epoch: 1 | remaining: 178s    
step 00034 (1.2%) | loss: 5.549132 | lrm: 1.00 | dt: 95ms | tok/sec: 1,378,528 | mfu: 35.1% | epoch: 1 | remaining: 178s    
step 00035 (1.3%) | loss: 5.533651 | lrm: 1.00 | dt: 95ms | tok/sec: 1,383,844 | mfu: 35.2% | epoch: 1 | remaining: 178s    
step 00036 (1.3%) | loss: 5.522064 | lrm: 1.00 | dt: 95ms | tok/sec: 1,380,893 | mfu: 35.1% | epoch: 1 | remaining: 178s    
step 00037 (1.4%) | loss: 5.506904 | lrm: 1.00 | dt: 94ms | tok/sec: 1,399,293 | mfu: 35.6% | epoch: 1 | remaining: 177s    
step 00038 (1.4%) | loss: 5.494047 | lrm: 1.00 | dt: 93ms | tok/sec: 1,406,323 | mfu: 35.8% | epoch: 1 | remaining: 177s    
step 00039 (1.5%) | loss: 5.480850 | lrm: 1.00 | dt: 94ms | tok/sec: 1,399,432 | mfu: 35.6% | epoch: 1 | remaining: 177s    
step 00040 (1.5%) | loss: 5.466564 | lrm: 1.00 | dt: 94ms | tok/sec: 1,395,206 | mfu: 35.5% | epoch: 1 | remaining: 177s    
step 00041 (1.6%) | loss: 5.454079 | lrm: 1.00 | dt: 95ms | tok/sec: 1,380,810 | mfu: 35.1% | epoch: 1 | remaining: 177s    
step 00042 (1.6%) | loss: 5.444361 | lrm: 1.00 | dt: 95ms | tok/sec: 1,375,596 | mfu: 35.0% | epoch: 1 | remaining: 177s    
step 00043 (1.7%) | loss: 5.430092 | lrm: 1.00 | dt: 95ms | tok/sec: 1,373,596 | mfu: 34.9% | epoch: 1 | remaining: 177s    
step 00044 (1.7%) | loss: 5.419378 | lrm: 1.00 | dt: 95ms | tok/sec: 1,384,018 | mfu: 35.2% | epoch: 1 | remaining: 177s    
step 00045 (1.8%) | loss: 5.410221 | lrm: 1.00 | dt: 94ms | tok/sec: 1,388,023 | mfu: 35.3% | epoch: 1 | remaining: 177s    
step 00046 (1.8%) | loss: 5.401351 | lrm: 1.00 | dt: 95ms | tok/sec: 1,380,789 | mfu: 35.1% | epoch: 1 | remaining: 177s    
step 00047 (1.9%) | loss: 5.388701 | lrm: 1.00 | dt: 93ms | tok/sec: 1,405,338 | mfu: 35.7% | epoch: 1 | remaining: 176s    
