commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.880761	180.2	214.6	42204.0	37.69	248.0	473	33.6	8	keep	baseline
unknown	1.530067	180.1	208.8	42084.0	37.26	242.5	925	33.6	8	keep	halve total batch size for more updates
unknown	1.272634	180.0	207.6	21289.0	36.68	237.4	1811	33.6	8	keep	use 64x2048 single microbatch updates
unknown	1.232057	180.0	220.9	10891.5	34.62	223.4	3409	33.6	8	keep	use 32x2048 single microbatch updates
unknown	1.247485	180.0	220.0	5692.8	25.21	162.5	4960	33.6	8	discard	use 16x2048 single microbatch updates
unknown	1.234268	180.1	222.8	13445.9	38.20	173.7	2651	49.8	8	discard	widen 8-layer model to 640 hidden dims
unknown	1.230346	180.0	207.1	10891.5	34.00	219.5	3349	33.6	8	keep	scale all learning rates to 75 percent
unknown	1.207751	180.0	207.0	10891.5	34.48	222.5	3395	33.6	8	keep	scale all learning rates to 50 percent
unknown	1.263992	180.0	207.3	10891.5	34.51	222.8	3399	33.6	8	discard	scale all learning rates to 25 percent
unknown	1.217818	180.0	207.4	10891.5	34.29	221.3	3377	33.6	8	discard	scale all learning rates to 60 percent
unknown	1.212203	180.0	208.0	10891.5	33.36	215.4	3286	33.6	8	discard	scale all learning rates to 45 percent
unknown	1.228944	180.0	207.9	10891.5	33.64	217.1	3313	33.6	8	discard	halve matrix weight decay to 0.1
unknown	1.215116	180.0	207.8	10891.5	33.48	216.1	3297	33.6	8	discard	increase matrix weight decay to 0.3
unknown	1.273984	180.1	211.1	13446.7	38.12	173.4	2646	49.8	8	discard	widen to 640 dims with half learning rates
unknown	1.232568	180.0	218.2	8384.5	22.88	227.9	3478	20.4	8	discard	narrow 8-layer model to 384 hidden dims
unknown	1.236673	180.1	224.4	13286.5	35.64	187.6	2862	39.8	10	discard	use 10 layers at 512 hidden dims
unknown	1.228159	180.0	217.4	9815.5	31.52	223.7	3414	29.4	8	discard	reduce MLP expansion from 4x to 3x
unknown	1.200406	180.0	216.7	11033.0	32.88	209.8	3202	34.1	8	keep	replace squared ReLU MLP with gated SwiGLU
unknown	1.213584	180.0	217.0	5768.9	24.81	158.2	4828	34.1	8	discard	use 16x2048 batch with SwiGLU half LR
unknown	1.233738	180.0	204.9	11031.5	32.79	209.3	3194	34.1	8	discard	reduce matrix init scale for SwiGLU
unknown	1.242190	180.1	205.3	11031.5	32.86	209.8	3201	34.1	8	discard	increase matrix init scale for SwiGLU
unknown	1.210997	180.0	205.0	11031.5	32.80	209.4	3195	34.1	8	discard	scale SwiGLU learning rates to 60 percent
unknown	1.218437	180.0	204.9	11031.5	32.82	209.5	3197	34.1	8	discard	scale SwiGLU learning rates to 45 percent
unknown	1.227033	180.0	205.3	11031.5	32.70	208.7	3185	34.1	8	discard	finish cooldown at 10 percent LR
unknown	1.200388	180.0	218.4	11029.4	26.48	206.1	3145	34.1	8	keep	use 1024 context with 64 sample batches
unknown	1.267233	180.0	221.8	11027.5	19.86	173.7	2650	34.1	8	discard	use 512 context with 128 sample batches
unknown	1.203493	180.0	217.3	11028.8	27.12	211.0	3220	34.1	8	discard	raise logit softcap to 30
unknown	1.199271	180.0	217.9	11028.8	26.85	208.9	3188	34.1	8	keep	lower logit softcap to 10
unknown	1.227138	180.0	218.6	11028.8	27.20	211.7	3230	34.1	8	discard	lower logit softcap to 7.5
unknown	1.195195	180.0	217.4	11028.8	27.24	211.9	3234	34.1	8	keep	set logit softcap to 12.5
unknown	1.210438	180.0	218.2	11028.8	26.61	207.1	3160	34.1	8	discard	set logit softcap to 13.75
unknown	1.216663	180.0	218.6	11028.8	27.05	210.5	3212	34.1	8	discard	set logit softcap to 11.25
unknown	1.207961	180.1	216.8	11031.5	32.86	209.8	3201	34.1	8	discard	retest 2048 context with softcap 12.5
unknown	1.205485	180.0	218.4	8397.4	22.57	175.6	3572	34.1	8	discard	use 49k token batches at 1024 context
unknown	1.239972	180.0	218.6	13661.0	29.10	226.6	2766	34.1	8	discard	use 82k token batches at 1024 context
