gpu broker listening on http://127.0.0.1:8765
[gpu-broker] 127.0.0.1 "GET /health HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
