experiment_start=2026-07-10T15:51:13Z description=1.15x learning rates at 65k batch
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011307 | lrm: 1.00 | dt: 13953ms | tok/sec: 4,696 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.993724 | lrm: 1.00 | dt: 106ms | tok/sec: 619,214 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.707862 | lrm: 1.00 | dt: 103ms | tok/sec: 633,594 | mfu: 17.7% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.508865 | lrm: 1.00 | dt: 106ms | tok/sec: 620,225 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.389803 | lrm: 1.00 | dt: 102ms | tok/sec: 641,731 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.292674 | lrm: 1.00 | dt: 102ms | tok/sec: 642,802 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.196695 | lrm: 1.00 | dt: 106ms | tok/sec: 618,391 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.108358 | lrm: 1.00 | dt: 102ms | tok/sec: 643,302 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 8.023138 | lrm: 1.00 | dt: 106ms | tok/sec: 620,605 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.955645 | lrm: 1.00 | dt: 102ms | tok/sec: 643,084 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.906377 | lrm: 1.00 | dt: 106ms | tok/sec: 620,087 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.863428 | lrm: 1.00 | dt: 104ms | tok/sec: 632,330 | mfu: 17.7% | epoch: 1 | remaining: 180s    
step 00012 (0.1%) | loss: 7.820691 | lrm: 1.00 | dt: 106ms | tok/sec: 620,571 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00013 (0.1%) | loss: 7.780878 | lrm: 1.00 | dt: 105ms | tok/sec: 626,265 | mfu: 17.5% | epoch: 1 | remaining: 180s    
step 00014 (0.2%) | loss: 7.744386 | lrm: 1.00 | dt: 105ms | tok/sec: 621,233 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00015 (0.2%) | loss: 7.711494 | lrm: 1.00 | dt: 102ms | tok/sec: 642,586 | mfu: 18.0% | epoch: 1 | remaining: 179s    
step 00016 (0.3%) | loss: 7.684594 | lrm: 1.00 | dt: 106ms | tok/sec: 618,668 | mfu: 17.3% | epoch: 1 | remaining: 179s    
step 00017 (0.3%) | loss: 7.655942 | lrm: 1.00 | dt: 103ms | tok/sec: 639,292 | mfu: 17.9% | epoch: 1 | remaining: 179s    
step 00018 (0.4%) | loss: 7.625963 | lrm: 1.00 | dt: 104ms | tok/sec: 630,730 | mfu: 17.6% | epoch: 1 | remaining: 179s    
step 00019 (0.5%) | loss: 7.595917 | lrm: 1.00 | dt: 104ms | tok/sec: 628,851 | mfu: 17.6% | epoch: 1 | remaining: 179s    
step 00020 (0.5%) | loss: 7.568195 | lrm: 1.00 | dt: 104ms | tok/sec: 630,516 | mfu: 17.6% | epoch: 1 | remaining: 179s    
step 00021 (0.6%) | loss: 7.537575 | lrm: 1.00 | dt: 106ms | tok/sec: 618,761 | mfu: 17.3% | epoch: 1 | remaining: 179s    
step 00022 (0.6%) | loss: 7.512137 | lrm: 1.00 | dt: 102ms | tok/sec: 640,162 | mfu: 17.9% | epoch: 1 | remaining: 179s    
step 00023 (0.7%) | loss: 7.490195 | lrm: 1.00 | dt: 106ms | tok/sec: 617,490 | mfu: 17.3% | epoch: 1 | remaining: 179s    
step 00024 (0.8%) | loss: 7.468853 | lrm: 1.00 | dt: 102ms | tok/sec: 641,004 | mfu: 17.9% | epoch: 1 | remaining: 179s    
step 00025 (0.8%) | loss: 7.446904 | lrm: 1.00 | dt: 106ms | tok/sec: 618,332 | mfu: 17.3% | epoch: 1 | remaining: 178s    
step 00026 (0.9%) | loss: 7.428031 | lrm: 1.00 | dt: 102ms | tok/sec: 640,039 | mfu: 17.9% | epoch: 1 | remaining: 178s    
step 00027 (0.9%) | loss: 7.405246 | lrm: 1.00 | dt: 106ms | tok/sec: 620,120 | mfu: 17.3% | epoch: 1 | remaining: 178s    
step 00028 (1.0%) | loss: 7.383380 | lrm: 1.00 | dt: 102ms | tok/sec: 640,882 | mfu: 17.9% | epoch: 1 | remaining: 178s    
step 00029 (1.0%) | loss: 7.365227 | lrm: 1.00 | dt: 105ms | tok/sec: 622,329 | mfu: 17.4% | epoch: 1 | remaining: 178s    
step 00030 (1.1%) | loss: 7.345080 | lrm: 1.00 | dt: 104ms | tok/sec: 630,537 | mfu: 17.6% | epoch: 1 | remaining: 178s    
