experiment_start=2026-07-10T15:59:59Z description=sixteenth global batch for update frequency
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011232 | lrm: 1.00 | dt: 12746ms | tok/sec: 2,570 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.999045 | lrm: 1.00 | dt: 26ms | tok/sec: 1,275,500 | mfu: 35.7% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.691570 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,705 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.479437 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,146 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.348403 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,033 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.269695 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,853 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.188957 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,230 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.115453 | lrm: 1.00 | dt: 25ms | tok/sec: 1,299,892 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 8.038450 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,084 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.974420 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,183 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.922079 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,121 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.880758 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,151 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00012 (0.0%) | loss: 7.838938 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,112 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00013 (0.0%) | loss: 7.797456 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,420 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00014 (0.0%) | loss: 7.756420 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,758 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00015 (0.1%) | loss: 7.717962 | lrm: 1.00 | dt: 25ms | tok/sec: 1,299,229 | mfu: 36.3% | epoch: 1 | remaining: 180s    
step 00016 (0.1%) | loss: 7.677476 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,709 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00017 (0.1%) | loss: 7.648366 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,999 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00018 (0.1%) | loss: 7.616175 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,544 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00019 (0.1%) | loss: 7.585557 | lrm: 1.00 | dt: 25ms | tok/sec: 1,309,179 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00020 (0.1%) | loss: 7.565559 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,572 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00021 (0.1%) | loss: 7.531520 | lrm: 1.00 | dt: 33ms | tok/sec: 995,306 | mfu: 27.8% | epoch: 1 | remaining: 180s    
step 00022 (0.2%) | loss: 7.510322 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,677 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00023 (0.2%) | loss: 7.479776 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,985 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00024 (0.2%) | loss: 7.453137 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,974 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00025 (0.2%) | loss: 7.428720 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,282 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00026 (0.2%) | loss: 7.395862 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,572 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00027 (0.2%) | loss: 7.380034 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,593 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00028 (0.2%) | loss: 7.354269 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,076 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00029 (0.3%) | loss: 7.333642 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,933 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00030 (0.3%) | loss: 7.316312 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,002 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00031 (0.3%) | loss: 7.296912 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,306 | mfu: 36.4% | epoch: 1 | remaining: 179s    
step 00032 (0.3%) | loss: 7.283949 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,734 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00033 (0.3%) | loss: 7.267475 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,109 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00034 (0.3%) | loss: 7.248282 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,833 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00035 (0.3%) | loss: 7.236990 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,746 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00036 (0.4%) | loss: 7.217783 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,379 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00037 (0.4%) | loss: 7.206150 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,652 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00038 (0.4%) | loss: 7.194231 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,727 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00039 (0.4%) | loss: 7.177862 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,282 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00040 (0.4%) | loss: 7.169072 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,361 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00041 (0.4%) | loss: 7.152830 | lrm: 1.00 | dt: 26ms | tok/sec: 1,246,543 | mfu: 34.9% | epoch: 1 | remaining: 179s    
step 00042 (0.4%) | loss: 7.141377 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,050 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00043 (0.5%) | loss: 7.127542 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,727 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00044 (0.5%) | loss: 7.110580 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,045 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00045 (0.5%) | loss: 7.101512 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,503 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00046 (0.5%) | loss: 7.087372 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,992 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00047 (0.5%) | loss: 7.077888 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,888 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00048 (0.5%) | loss: 7.064177 | lrm: 1.00 | dt: 29ms | tok/sec: 1,146,298 | mfu: 32.1% | epoch: 1 | remaining: 179s    
step 00049 (0.5%) | loss: 7.054205 | lrm: 1.00 | dt: 25ms | tok/sec: 1,299,708 | mfu: 36.4% | epoch: 1 | remaining: 179s    
step 00050 (0.6%) | loss: 7.036582 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,962 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00051 (0.6%) | loss: 7.029103 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,069 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00052 (0.6%) | loss: 7.018781 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,556 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00053 (0.6%) | loss: 7.007389 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,056 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00054 (0.6%) | loss: 6.994932 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,833 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00055 (0.6%) | loss: 6.984371 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,602 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00056 (0.6%) | loss: 6.984465 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,983 | mfu: 36.6% | epoch: 1 | remaining: 179s    
step 00057 (0.6%) | loss: 6.973494 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,354 | mfu: 36.5% | epoch: 1 | remaining: 179s    
