gpu broker listening on http://127.0.0.1:8769
[gpu-broker] 127.0.0.1 "GET /health HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "GET / HTTP/1.1" 404 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "GET /health HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "GET /healthz HTTP/1.1" 404 -
[gpu-broker] 127.0.0.1 "GET /status HTTP/1.1" 404 -
[gpu-broker] 127.0.0.1 "GET /api/health HTTP/1.1" 404 -
[gpu-broker] 127.0.0.1 "GET /api/status HTTP/1.1" 404 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
[gpu-broker] 127.0.0.1 "POST /run HTTP/1.1" 200 -
