experiment_start=2026-07-10T17:43:09Z description=refine matrix lr to 0.034
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011307 | lrm: 1.00 | dt: 1557ms | tok/sec: 42,086 | mfu: 1.2% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.993477 | lrm: 1.00 | dt: 47ms | tok/sec: 1,406,190 | mfu: 39.3% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.683341 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,603 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.453856 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,442 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.305571 | lrm: 1.00 | dt: 46ms | tok/sec: 1,418,285 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.197268 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,970 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.102273 | lrm: 1.00 | dt: 46ms | tok/sec: 1,422,388 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.016698 | lrm: 1.00 | dt: 46ms | tok/sec: 1,417,203 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 7.937677 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,333 | mfu: 39.5% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.876215 | lrm: 1.00 | dt: 46ms | tok/sec: 1,421,556 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.830358 | lrm: 1.00 | dt: 46ms | tok/sec: 1,420,601 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.792400 | lrm: 1.00 | dt: 46ms | tok/sec: 1,423,242 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00012 (0.0%) | loss: 7.756159 | lrm: 1.00 | dt: 46ms | tok/sec: 1,422,667 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00013 (0.1%) | loss: 7.722074 | lrm: 1.00 | dt: 46ms | tok/sec: 1,412,027 | mfu: 39.5% | epoch: 1 | remaining: 180s    
step 00014 (0.1%) | loss: 7.690375 | lrm: 1.00 | dt: 47ms | tok/sec: 1,407,075 | mfu: 39.4% | epoch: 1 | remaining: 180s    
step 00015 (0.1%) | loss: 7.660897 | lrm: 1.00 | dt: 46ms | tok/sec: 1,415,466 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00016 (0.1%) | loss: 7.636103 | lrm: 1.00 | dt: 46ms | tok/sec: 1,416,319 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00017 (0.2%) | loss: 7.611352 | lrm: 1.00 | dt: 46ms | tok/sec: 1,415,852 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00018 (0.2%) | loss: 7.585785 | lrm: 1.00 | dt: 46ms | tok/sec: 1,414,468 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00019 (0.2%) | loss: 7.571223 | lrm: 1.00 | dt: 46ms | tok/sec: 1,415,116 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00020 (0.2%) | loss: 7.552484 | lrm: 1.00 | dt: 46ms | tok/sec: 1,417,970 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00021 (0.3%) | loss: 7.528776 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,330 | mfu: 39.2% | epoch: 1 | remaining: 179s    
step 00022 (0.3%) | loss: 7.506715 | lrm: 1.00 | dt: 47ms | tok/sec: 1,397,660 | mfu: 39.1% | epoch: 1 | remaining: 179s    
step 00023 (0.3%) | loss: 7.486287 | lrm: 1.00 | dt: 47ms | tok/sec: 1,398,222 | mfu: 39.1% | epoch: 1 | remaining: 179s    
step 00024 (0.3%) | loss: 7.466754 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,054 | mfu: 38.9% | epoch: 1 | remaining: 179s    
step 00025 (0.4%) | loss: 7.445521 | lrm: 1.00 | dt: 48ms | tok/sec: 1,358,804 | mfu: 38.0% | epoch: 1 | remaining: 179s    
step 00026 (0.4%) | loss: 7.425870 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,250 | mfu: 39.0% | epoch: 1 | remaining: 179s    
step 00027 (0.4%) | loss: 7.404104 | lrm: 1.00 | dt: 47ms | tok/sec: 1,399,133 | mfu: 39.1% | epoch: 1 | remaining: 179s    
step 00028 (0.4%) | loss: 7.382899 | lrm: 1.00 | dt: 47ms | tok/sec: 1,398,649 | mfu: 39.1% | epoch: 1 | remaining: 179s    
step 00029 (0.5%) | loss: 7.365123 | lrm: 1.00 | dt: 47ms | tok/sec: 1,406,485 | mfu: 39.3% | epoch: 1 | remaining: 179s    
step 00030 (0.5%) | loss: 7.345087 | lrm: 1.00 | dt: 47ms | tok/sec: 1,408,149 | mfu: 39.4% | epoch: 1 | remaining: 179s    
step 00031 (0.5%) | loss: 7.325202 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,737 | mfu: 39.2% | epoch: 1 | remaining: 179s    
step 00032 (0.5%) | loss: 7.309726 | lrm: 1.00 | dt: 47ms | tok/sec: 1,396,673 | mfu: 39.1% | epoch: 1 | remaining: 179s    
step 00033 (0.6%) | loss: 7.292781 | lrm: 1.00 | dt: 47ms | tok/sec: 1,402,710 | mfu: 39.2% | epoch: 1 | remaining: 179s    
step 00034 (0.6%) | loss: 7.275881 | lrm: 1.00 | dt: 49ms | tok/sec: 1,346,760 | mfu: 37.7% | epoch: 1 | remaining: 179s    
