experiment_start=2026-07-12T21:13:51Z description=test intermediate 96K batch
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011267 | lrm: 1.00 | dt: 2599ms | tok/sec: 37,824 | mfu: 1.1% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.896092 | lrm: 1.00 | dt: 73ms | tok/sec: 1,353,709 | mfu: 37.9% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.537955 | lrm: 1.00 | dt: 75ms | tok/sec: 1,319,185 | mfu: 36.9% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.106403 | lrm: 1.00 | dt: 76ms | tok/sec: 1,289,638 | mfu: 36.1% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 7.725131 | lrm: 1.00 | dt: 76ms | tok/sec: 1,300,171 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 7.420591 | lrm: 1.00 | dt: 76ms | tok/sec: 1,292,837 | mfu: 36.2% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 7.184948 | lrm: 1.00 | dt: 76ms | tok/sec: 1,294,456 | mfu: 36.2% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 6.981959 | lrm: 1.00 | dt: 75ms | tok/sec: 1,310,510 | mfu: 36.7% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 6.812160 | lrm: 1.00 | dt: 76ms | tok/sec: 1,301,238 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 6.675045 | lrm: 1.00 | dt: 76ms | tok/sec: 1,290,639 | mfu: 36.1% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 6.556994 | lrm: 1.00 | dt: 76ms | tok/sec: 1,293,729 | mfu: 36.2% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 6.453603 | lrm: 1.00 | dt: 76ms | tok/sec: 1,287,476 | mfu: 36.0% | epoch: 1 | remaining: 180s    
step 00012 (0.0%) | loss: 6.365143 | lrm: 1.00 | dt: 87ms | tok/sec: 1,125,718 | mfu: 31.5% | epoch: 1 | remaining: 180s    
step 00013 (0.1%) | loss: 6.285561 | lrm: 1.00 | dt: 83ms | tok/sec: 1,188,962 | mfu: 33.3% | epoch: 1 | remaining: 180s    
step 00014 (0.1%) | loss: 6.210428 | lrm: 1.00 | dt: 80ms | tok/sec: 1,236,102 | mfu: 34.6% | epoch: 1 | remaining: 180s    
step 00015 (0.2%) | loss: 6.144021 | lrm: 1.00 | dt: 79ms | tok/sec: 1,248,926 | mfu: 34.9% | epoch: 1 | remaining: 180s    
step 00016 (0.2%) | loss: 6.085938 | lrm: 1.00 | dt: 77ms | tok/sec: 1,277,009 | mfu: 35.7% | epoch: 1 | remaining: 180s    
step 00017 (0.3%) | loss: 6.036904 | lrm: 1.00 | dt: 76ms | tok/sec: 1,293,888 | mfu: 36.2% | epoch: 1 | remaining: 179s    
step 00018 (0.3%) | loss: 5.989156 | lrm: 1.00 | dt: 76ms | tok/sec: 1,293,936 | mfu: 36.2% | epoch: 1 | remaining: 179s    
step 00019 (0.4%) | loss: 5.944658 | lrm: 1.00 | dt: 76ms | tok/sec: 1,293,486 | mfu: 36.2% | epoch: 1 | remaining: 179s    
step 00020 (0.4%) | loss: 5.908757 | lrm: 1.00 | dt: 109ms | tok/sec: 905,940 | mfu: 25.3% | epoch: 1 | remaining: 179s    
step 00021 (0.5%) | loss: 5.877307 | lrm: 1.00 | dt: 74ms | tok/sec: 1,323,352 | mfu: 37.0% | epoch: 1 | remaining: 179s    
step 00022 (0.5%) | loss: 5.845214 | lrm: 1.00 | dt: 75ms | tok/sec: 1,310,648 | mfu: 36.7% | epoch: 1 | remaining: 179s    
step 00023 (0.5%) | loss: 5.816611 | lrm: 1.00 | dt: 76ms | tok/sec: 1,298,582 | mfu: 36.3% | epoch: 1 | remaining: 179s    
step 00024 (0.6%) | loss: 5.789292 | lrm: 1.00 | dt: 76ms | tok/sec: 1,288,590 | mfu: 36.0% | epoch: 1 | remaining: 179s    
step 00025 (0.6%) | loss: 5.765897 | lrm: 1.00 | dt: 77ms | tok/sec: 1,272,394 | mfu: 35.6% | epoch: 1 | remaining: 179s    
step 00026 (0.7%) | loss: 5.742712 | lrm: 1.00 | dt: 77ms | tok/sec: 1,268,975 | mfu: 35.5% | epoch: 1 | remaining: 179s    
step 00027 (0.7%) | loss: 5.721967 | lrm: 1.00 | dt: 79ms | tok/sec: 1,249,407 | mfu: 35.0% | epoch: 1 | remaining: 179s    
step 00028 (0.8%) | loss: 5.701722 | lrm: 1.00 | dt: 77ms | tok/sec: 1,278,902 | mfu: 35.8% | epoch: 1 | remaining: 179s    
step 00029 (0.8%) | loss: 5.688708 | lrm: 1.00 | dt: 76ms | tok/sec: 1,286,291 | mfu: 36.0% | epoch: 1 | remaining: 178s    
step 00030 (0.8%) | loss: 5.671545 | lrm: 1.00 | dt: 76ms | tok/sec: 1,288,913 | mfu: 36.1% | epoch: 1 | remaining: 178s    
step 00031 (0.9%) | loss: 5.653322 | lrm: 1.00 | dt: 76ms | tok/sec: 1,288,453 | mfu: 36.0% | epoch: 1 | remaining: 178s    
step 00032 (0.9%) | loss: 5.640302 | lrm: 1.00 | dt: 81ms | tok/sec: 1,211,987 | mfu: 33.9% | epoch: 1 | remaining: 178s    
step 00033 (1.0%) | loss: 5.619773 | lrm: 1.00 | dt: 79ms | tok/sec: 1,247,434 | mfu: 34.9% | epoch: 1 | remaining: 178s    
step 00034 (1.0%) | loss: 5.601557 | lrm: 1.00 | dt: 77ms | tok/sec: 1,278,394 | mfu: 35.8% | epoch: 1 | remaining: 178s    
step 00035 (1.1%) | loss: 5.586424 | lrm: 1.00 | dt: 77ms | tok/sec: 1,276,546 | mfu: 35.7% | epoch: 1 | remaining: 178s    
step 00036 (1.1%) | loss: 5.575818 | lrm: 1.00 | dt: 77ms | tok/sec: 1,279,231 | mfu: 35.8% | epoch: 1 | remaining: 178s    
