commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.066409	180.1	210.5	19117.0	35.60	253.4	1933	29.4	8	keep	baseline
unknown	1.071666	180.0	207.0	19117.0	35.57	253.1	1931	29.4	8	discard	shorten terminal warmdown from 30% to 20%
unknown	1.062939	180.1	206.7	19117.0	35.47	252.4	1926	29.4	8	keep	lower Muon momentum from 0.95 to 0.90
unknown	1.065011	180.0	206.6	19117.0	35.42	252.1	1923	29.4	8	discard	lower Muon momentum from 0.90 to 0.85
unknown	1.062307	180.1	225.0	23279.5	35.64	207.4	1582	34.6	10	keep	deepen model from 8 to 10 layers at 512 width
unknown	1.064680	180.0	229.8	27442.0	35.77	175.9	1342	39.8	12	discard	deepen model from 10 to 12 layers at 512 width
unknown	1.061750	180.0	221.9	21200.0	35.62	227.9	1739	32.0	9	keep	test 9 layers at 512 width between depth sweep points
unknown	1.062218	180.1	208.0	21200.0	35.57	227.7	1737	32.0	9	discard	fine tune Muon momentum from 0.90 to 0.88
unknown	1.059630	180.1	207.8	21200.0	35.53	227.4	1735	32.0	9	keep	halve matrix weight decay from 0.2 to 0.1
unknown	1.058098	180.1	208.1	21200.0	35.48	227.1	1733	32.0	9	keep	halve matrix weight decay from 0.1 to 0.05
unknown	1.059200	180.1	208.0	21200.0	35.47	227.0	1732	32.0	9	discard	halve matrix weight decay from 0.05 to 0.025
unknown	1.059992	180.1	208.0	21200.0	35.47	227.0	1732	32.0	9	discard	lower Muon matrix learning rate from 0.024 to 0.020
unknown	1.057699	180.1	207.9	21200.0	35.47	227.0	1732	32.0	9	keep	raise Muon matrix learning rate from 0.024 to 0.028
unknown	1.057174	180.0	208.1	21200.0	35.50	227.1	1733	32.0	9	keep	raise Muon matrix learning rate from 0.028 to 0.032
unknown	1.057408	180.1	207.9	21200.0	35.46	227.0	1732	32.0	9	discard	raise Muon matrix learning rate from 0.032 to 0.036
unknown	1.056685	180.1	207.8	21200.0	35.46	227.0	1732	32.0	9	keep	raise embedding learning rate from 0.30 to 0.35
unknown	1.056773	180.0	209.3	21200.0	35.45	226.9	1731	32.0	9	discard	raise embedding learning rate from 0.35 to 0.40
unknown	1.056014	180.0	208.4	21200.0	35.44	226.8	1730	32.0	9	keep	raise output head learning rate from 0.002 to 0.003
unknown	1.055670	180.1	207.9	21200.0	35.46	227.0	1732	32.0	9	keep	raise output head learning rate from 0.003 to 0.004
unknown	1.055462	180.1	210.1	21200.0	35.45	226.9	1731	32.0	9	keep	raise output head learning rate from 0.004 to 0.005
unknown	1.055494	180.0	208.0	21200.0	35.48	227.0	1732	32.0	9	discard	raise output head learning rate from 0.005 to 0.006
unknown	1.056107	180.0	208.8	21200.0	35.43	226.8	1730	32.0	9	discard	retain 10% terminal learning rate during warmdown
unknown	1.056472	180.0	208.7	21200.0	35.41	226.6	1729	32.0	9	discard	raise Adam beta1 from 0.8 to 0.9
unknown	1.055651	180.1	208.7	21200.0	35.40	226.6	1729	32.0	9	discard	raise Adam beta2 from 0.95 to 0.98
unknown	1.058187	180.1	222.1	21200.0	35.48	227.1	1733	32.0	9	discard	raise logits softcap from 15 to 30
unknown	1.056341	180.1	215.4	21200.0	35.26	225.7	1722	32.0	9	discard	increase Muon Newton Schulz steps from 5 to 6
unknown	1.050528	180.1	223.2	23536.0	36.41	211.8	1616	36.7	9	keep	increase MLP hidden multiplier from 3 to 4
unknown	1.049000	180.0	224.3	25894.5	37.17	198.0	1511	41.4	9	keep	increase MLP hidden multiplier from 4 to 5
unknown	1.049676	180.0	225.4	28233.0	37.57	184.7	1409	46.1	9	discard	increase MLP hidden multiplier from 5 to 6
unknown	1.047105	180.0	221.1	23288.0	36.95	219.3	1673	37.7	8	keep	test 8 layers with MLP multiplier 5 at 512 width
unknown	1.046505	180.0	219.2	20686.0	36.79	246.4	1880	34.1	7	keep	test 7 layers with MLP multiplier 5 at 512 width
unknown	1.049201	180.1	216.2	18083.0	36.42	280.1	2137	30.4	6	discard	test 6 layers with MLP multiplier 5 at 512 width
unknown	1.045044	180.0	219.2	22507.0	37.33	231.1	1763	37.7	7	keep	increase MLP hidden multiplier from 5 to 6 at depth 7
unknown	1.044772	180.0	220.2	24338.5	37.95	218.4	1666	41.4	7	keep	increase MLP hidden multiplier from 6 to 7 at depth 7
unknown	1.044314	180.1	221.3	26159.0	38.69	208.0	1587	45.1	7	keep	increase MLP hidden multiplier from 7 to 8 at depth 7
unknown	1.049099	180.1	221.8	27992.0	38.93	196.5	1499	48.8	7	discard	increase MLP hidden multiplier from 8 to 9 at depth 7
unknown	1.043483	180.1	218.4	22774.0	38.43	237.9	1815	39.8	6	keep	test 6 layers with MLP multiplier 8 at 512 width
unknown	1.046752	180.1	215.2	19389.0	38.25	279.1	2129	34.6	5	discard	test 5 layers with MLP multiplier 8 at 512 width
unknown	1.043915	180.1	218.6	24345.0	38.78	225.4	1720	43.0	6	discard	increase MLP hidden multiplier from 8 to 9 at depth 6
