commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.841593	180.2	216.0	42204.0	38.08	250.6	478	33.6	8	keep	baseline
unknown	1.507373	180.0	209.8	42084.0	37.89	246.4	940	33.6	8	keep	halve batch to 262K tokens for twice as many optimizer updates
unknown	1.276992	180.0	222.0	21289.0	37.21	240.8	1837	33.6	8	keep	halve batch again to 131K tokens with 64 sequences per step
unknown	1.229723	180.0	220.8	10891.5	34.63	223.5	3410	33.6	8	keep	halve batch to 65K tokens with 32 sequences per optimizer step
unknown	1.253330	180.0	220.9	5692.8	24.94	160.8	4907	33.6	8	discard	probe lower batch boundary at 33K tokens and 16 sequences
unknown	1.089922	180.0	214.5	10795.5	27.20	175.7	2681	33.6	8	keep	use Muon orthogonalized updates for transformer matrices
unknown	1.078374	180.1	218.4	10794.5	33.68	217.4	3318	33.6	8	keep	batch same-shaped Muon updates to recover optimizer throughput
unknown	1.060552	180.0	222.5	16003.3	35.52	229.5	2335	33.6	8	keep	interpolate Muon batch optimum at 98K tokens and 48 sequences
unknown	1.056509	180.0	210.0	21193.0	36.17	234.1	1786	33.6	8	keep	probe Muon batch optimum at 131K tokens and 64 sequences
unknown	1.055345	180.0	222.8	31602.5	36.91	239.5	1218	33.6	8	keep	test larger Muon batch at 197K tokens and 96 sequences
unknown	1.059551	180.1	211.4	41988.0	36.88	240.1	916	33.6	8	discard	test full 128-sequence occupancy with 262K-token Muon batch
unknown	1.059579	180.1	221.2	28485.5	35.75	255.2	1298	29.4	8	discard	reduce ReLU-squared MLP expansion from 4x to 3x
unknown	1.053852	180.1	223.3	34704.0	37.54	223.5	1137	37.7	8	keep	increase ReLU-squared MLP expansion from 4x to 5x
unknown	1.053495	180.1	223.9	37814.5	37.89	208.4	1060	41.9	8	keep	increase ReLU-squared MLP expansion from 5x to 6x
unknown	1.053817	180.0	225.3	40935.5	38.73	197.8	1006	46.1	8	discard	probe MLP capacity boundary at 7x expansion
unknown	1.053239	180.1	225.3	19299.8	35.31	229.2	1166	41.9	8	keep	train on 1024-token sequences to reduce quadratic attention cost
unknown	1.113318	180.1	229.4	9961.4	23.01	165.0	839	41.9	8	discard	probe 512-token training sequences with four-way accumulation
unknown	1.052006	180.1	224.6	37813.5	36.08	234.2	1191	41.9	8	keep	use one 192-sequence microbatch for each 196K-token update
unknown	1.060022	180.1	225.2	37811.4	35.42	240.8	1225	41.9	8	discard	train 768-token sequences in one 256-sequence microbatch
unknown	1.051931	180.1	224.4	31601.3	35.91	232.8	1421	41.9	8	keep	interpolate global batch at 164K tokens with one 160-sequence step
unknown	1.053376	180.0	224.6	25367.0	35.42	229.2	1749	41.9	8	discard	complete batch bracket at 131K tokens and 128 sequences
unknown	1.056179	180.1	212.4	31600.8	35.89	232.7	1420	41.9	8	discard	raise Muon matrix learning rate from 0.04 to 0.05
unknown	1.048840	180.0	212.4	31600.8	35.95	233.0	1422	41.9	8	keep	lower Muon matrix learning rate from 0.04 to 0.03
unknown	1.048371	180.1	212.5	31600.8	35.74	231.7	1414	41.9	8	keep	lower Muon matrix learning rate from 0.03 to 0.02
unknown	1.049825	180.1	213.0	31600.8	35.59	230.7	1408	41.9	8	discard	probe lower Muon learning-rate boundary at 0.015
unknown	1.046632	180.0	213.0	31600.8	35.69	231.3	1412	41.9	8	keep	interpolate Muon learning rate between 0.02 and 0.03 at 0.025
unknown	1.052115	180.1	213.1	31600.8	35.76	231.8	1415	41.9	8	discard	raise decoupled Muon weight decay from 0.2 to 0.3
unknown	1.044378	180.0	212.7	31600.8	35.78	231.8	1415	41.9	8	keep	lower decoupled Muon weight decay from 0.2 to 0.1
unknown	1.051342	180.0	212.3	31600.8	35.75	231.7	1414	41.9	8	discard	remove decoupled weight decay from Muon matrix updates
unknown	1.057362	180.1	217.3	31600.8	36.14	234.3	1430	41.9	8	discard	reduce Muon Newton-Schulz iterations from five to three
unknown	1.044321	180.0	222.4	28030.0	35.41	258.7	1579	37.7	7	keep	remove one transformer block while retaining 512 width and 6x MLP
unknown	1.046686	180.1	219.3	24460.3	34.10	285.7	1744	33.6	6	discard	remove another block while preserving 512 hidden width
unknown	1.043217	180.1	222.9	30302.5	36.06	242.0	1477	41.4	7	keep	reallocate seventh-block model capacity into a 7x MLP
unknown	1.042984	180.1	223.5	32572.5	37.36	231.7	1414	45.1	7	keep	probe seven-block MLP capacity boundary at 8x expansion
unknown	1.045740	180.0	224.8	34846.5	37.49	216.1	1319	48.8	7	discard	probe upper MLP boundary at 9x in the seven-block model
unknown	1.047033	180.1	224.1	38992.0	37.45	232.6	1183	45.1	7	discard	retune larger seven-block model at 197K-token batch
unknown	1.044589	180.0	213.3	32572.5	37.38	231.7	1414	45.1	7	discard	raise LM-head AdamW learning rate from 0.004 to 0.006
